"Freq [GHz]","dB(S(waveport1:1,waveport3:1)) []","dB(S(waveport1:1,waveport2:1)) []","dB(S(waveport1:1,waveport4:1)) []","ang_rad(S(waveport1:1,waveport3:1)) [rad]","ang_rad(S(waveport1:1,waveport2:1)) [rad]","ang_rad(S(waveport1:1,waveport4:1)) [rad]"
1.11063,-46.5538817288226,-0.000198338797863479,-54.3131608633763,-0.761098584256025,-2.3301806688777,-0.770245367352677
1.1181275,-46.4959251495743,-0.000200636457475545,-54.2537056745819,-0.776837557954354,-2.34591118741081,-0.786023604807184
1.125625,-46.4383616639895,-0.00020294567546388,-54.1946296421582,-0.792576519152426,-2.36164171160063,-0.801801637424848
1.1331225,-46.3811860790407,-0.00020526653414114,-54.1359275327143,-0.808315468958901,-2.37737224150643,-0.817579471773875
1.14062,-46.3243933044135,-0.000207599117832715,-54.0775942162585,-0.824054408493102,-2.39310277718751,-0.833357114488215
1.1481175,-46.2679783498193,-0.000209943512865159,-54.019624663519,-0.839793338884776,-2.40883331870327,-0.849134572265761
1.155615,-46.2119363223961,-0.00021229980748905,-53.9620139433518,-0.855532261273858,-2.42456386611311,-0.86491185186653
1.1631125,-46.1562624241928,-0.000214668091823056,-53.9047572202332,-0.871271176810237,-2.44029441947648,-0.880688960110833
1.17061,-46.1009519497345,-0.000217048457843337,-53.8478497518316,-0.887010086653508,-2.45602497885288,-0.896465903877431
1.1781075,-46.0460002836659,-0.000219440999273608,-53.7912868866581,-0.902748991972739,-2.47175554430183,-0.912242690101682
1.185605,-45.9914028984689,-0.000221845811592857,-53.7350640617908,-0.918487893946222,-2.48748611588289,-0.928019325773667
1.1931025,-45.9371553522525,-0.000224262991945669,-53.6791768006713,-0.934226793761232,-2.50321669365564,-0.943795817936312
1.2006,-45.8832532866121,-0.000226692639134512,-53.62362071097,-0.949965692613781,-2.51894727767968,-0.959572173683501
1.2080975,-45.829692424555,-0.000229134853541624,-53.5683914825176,-0.965704591708367,-2.53467786801465,-0.975348400158167
1.215595,-45.7764685684904,-0.00023158973712324,-53.5134848853011,-0.981443492257729,-2.55040846472019,-0.991124504550385
1.2230925,-45.7235775982812,-0.000234057393333402,-53.4588967675212,-0.997182395482597,-2.56613906785596,-1.00690049409545
1.23059,-45.6710154693551,-0.000236537927112397,-53.4046230537083,-1.01292130261144,-2.58186967748162,-1.02267637607193
1.2380875,-45.6187782108735,-0.000239031444846255,-53.3506597428968,-1.0286602148802,-2.59760029365688,-1.03845215779976
1.245585,-45.5668619239553,-0.00024153805432432,-53.2970029068535,-1.04439913353207,-2.6133309164414,-1.05422784663825
1.2530825,-45.5152627799542,-0.000244057864700684,-53.2436486883595,-1.06013805981721,-2.6290615458949,-1.07000344998415
1.26058,-45.4639770187871,-0.000246590986499972,-53.1905932995433,-1.07587699499249,-2.64479218207706,-1.08577897526971
1.2680775,-45.4130009473126,-0.00024913753155177,-53.1378330202628,-1.09161594032126,-2.66052282504758,-1.10155442996063
1.275575,-45.3623309377572,-0.000251697612978096,-53.0853641965352,-1.10735489707305,-2.67625347486617,-1.11732982155418
1.2830725,-45.3119634261866,-0.000254271345180862,-53.0331832390129,-1.12309386652336,-2.69198413159251,-1.13310515757713
1.29057,-45.2618949110233,-0.000256858843823559,-52.9812866215031,-1.13883284995334,-2.70771479528628,-1.1488804455838
1.2980675,-45.2121219516057,-0.000259460225775325,-52.9296708795307,-1.1545718486496,-2.72344546600718,-1.16465569315405
1.305565,-45.162641166789,-0.000262075609154346,-52.8783326089421,-1.17031086390386,-2.73917614381485,-1.18043090789129
1.3130625,-45.113449233587,-0.000264705113282536,-52.8272684645487,-1.18604989701278,-2.75490682876897,-1.19620609742044
1.32056,-45.0645428858512,-0.000267348858671074,-52.7764751588094,-1.20178894927759,-2.77063752092917,-1.21198126938595
1.3280575,-45.0159189129883,-0.000270006967018478,-52.7259494605492,-1.21752802200394,-2.78636822035508,-1.22775643144975
1.335555,-44.9675741587137,-0.000272679561227006,-52.6756881937146,-1.23326711650153,-2.8020989271063,-1.24353159128927
1.3430525,-44.9195055198392,-0.000275366765378548,-52.6256882361631,-1.24900623408391,-2.81782964124244,-1.25930675659537
