"Freq [GHz]","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))_1 []"
0.6682775,-89.9976024485938,1738.75872380058
0.675775,-89.9975753854572,1719.3784600202
0.6832725,-89.9975483170493,1700.4225240749
0.69077,-89.9975212433229,1681.87709911306
0.6982675,-89.9974941642317,1663.72896170398
0.705765,-89.9974670797285,1645.96545031766
0.7132625,-89.9974399897673,1628.57443579254
0.72076,-89.9974128943011,1611.54429364643
0.7282575,-89.9973857932844,1594.86387809785
0.735755,-89.9973586866713,1578.52249767572
0.7432525,-89.9973315744154,1562.50989230524
0.75075,-89.9973044564716,1546.81621176681
0.7582475,-89.997277332794,1531.43199543293
0.765745,-89.9972502033373,1516.34815319549
0.7732425,-89.9972230680562,1501.55594750265
0.78074,-89.9971959269056,1487.0469764307
0.7882375,-89.9971687798403,1472.8131577221
0.795735,-89.9971416268155,1458.84671372576
